participant_id,participant_order_group,run_start_iso,session_tag,condition_index,factor_condition_id,block_number,condition_block_index,blocks_per_condition,technique,technique_order_index,technique_block_condition_index,size_level,radius_px,spacing_level,min_sep_px,num_targets,canvas_w,canvas_h,trial_in_block,global_trial_number,goal_target_id,goal_x,goal_y,prev_goal_x,prev_goal_y,A_px,W_px,ID_bits,time_ms,wrong_target_clicks,miss_clicks,total_errors,path_length_px,throughput_bps,trial_start_timestamp_ms,trial_end_timestamp_ms,last_click_x,last_click_y,captured_target_id_correct_click
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,9,3,3,POINT,0,2,L,22,MED,18,30,960,500,1,41,5,634.382,272.357,480,250,155.993,44,2.184,626,0,0,0,243.365,3.489,1772906725417,1772906726043,631,269.625,5
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,9,3,3,POINT,0,2,L,22,MED,18,30,960,500,2,42,26,102.659,419.501,634.382,272.357,551.708,44,3.759,678,0,0,0,551.604,5.544,1772906726043,1772906726721,111,406.625,26
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,9,3,3,POINT,0,2,L,22,MED,18,30,960,500,3,43,23,305.412,448.46,102.659,419.501,204.811,44,2.499,478,0,0,0,215.429,5.229,1772906726721,1772906727199,285,443.625,23
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,9,3,3,POINT,0,2,L,22,MED,18,30,960,500,4,44,14,534.89,210.581,305.412,448.46,330.525,44,3.089,552,0,0,0,344.95,5.597,1772906727199,1772906727751,538,218.625,14
2,2,2026-03-07T18:04:11.534Z,20260307_130411,2,POINT_L_MED,9,3,3,POINT,0,2,L,22,MED,18,30,960,500,5,45,22,471.948,146.416,534.89,210.581,89.883,44,1.605,460,0,0,0,125.129,3.49,1772906727751,1772906728211,482,136.625,22
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,10,1,3,POINT,0,3,M,16,MED,18,30,960,500,1,46,17,816.82,320.211,480,250,344.06,32,3.555,842,0,0,0,549.011,4.222,1772906728608,1772906729450,823,321.625,17
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,10,1,3,POINT,0,3,M,16,MED,18,30,960,500,2,47,14,628.918,353.159,816.82,320.211,190.769,32,2.799,643,0,0,0,328.998,4.354,1772906729450,1772906730093,630,354.625,14
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,10,1,3,POINT,0,3,M,16,MED,18,30,960,500,3,48,13,888.351,448.938,628.918,353.159,276.549,32,3.269,842,0,0,0,623.369,3.883,1772906730093,1772906730935,891,445.625,13
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,10,1,3,POINT,0,3,M,16,MED,18,30,960,500,4,49,12,703.858,143.235,888.351,448.938,357.061,32,3.604,916,0,0,0,471.961,3.934,1772906730935,1772906731851,694,140.625,12
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,10,1,3,POINT,0,3,M,16,MED,18,30,960,500,5,50,28,384.434,37.233,703.858,143.235,336.554,32,3.526,671,0,0,0,443.778,5.254,1772906731851,1772906732522,377,41.625,28
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,11,2,3,POINT,0,3,M,16,MED,18,30,960,500,1,51,7,614.526,189.347,480,250,147.567,32,2.488,834,0,0,0,332.457,2.984,1772906732945,1772906733779,619,185.625,7
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,11,2,3,POINT,0,3,M,16,MED,18,30,960,500,2,52,29,405.699,249.756,614.526,189.347,217.389,32,2.962,541,0,0,0,313.738,5.476,1772906733779,1772906734320,397,252.625,29
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,11,2,3,POINT,0,3,M,16,MED,18,30,960,500,3,53,26,750.995,191.468,405.699,249.756,350.181,32,3.578,707,0,0,0,454.626,5.061,1772906734320,1772906735027,755,196.625,26
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,11,2,3,POINT,0,3,M,16,MED,18,30,960,500,4,54,4,322.259,76.329,750.995,191.468,443.928,32,3.895,667,0,0,0,517.388,5.839,1772906735027,1772906735694,316,74.625,4
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,11,2,3,POINT,0,3,M,16,MED,18,30,960,500,5,55,6,922.926,409.767,322.259,76.329,687.01,32,4.49,819,0,0,0,749.592,5.482,1772906735694,1772906736513,930,405.625,6
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,12,3,3,POINT,0,3,M,16,MED,18,30,960,500,1,56,19,222.785,267.873,480,250,257.835,32,3.179,936,0,0,0,259.996,3.396,1772906736994,1772906737930,227,265.625,19
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,12,3,3,POINT,0,3,M,16,MED,18,30,960,500,2,57,0,484.608,340.389,222.785,267.873,271.68,32,3.246,553,0,0,0,423.743,5.871,1772906737930,1772906738483,494,338.625,0
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,12,3,3,POINT,0,3,M,16,MED,18,30,960,500,3,58,3,30.227,208.424,484.608,340.389,473.156,32,3.981,770,0,0,0,570.677,5.17,1772906738483,1772906739253,25,198.625,3
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,12,3,3,POINT,0,3,M,16,MED,18,30,960,500,4,59,28,372.826,92.741,30.227,208.424,361.603,32,3.621,777,0,0,0,587.167,4.66,1772906739253,1772906740030,370,100.625,28
2,2,2026-03-07T18:04:11.534Z,20260307_130411,3,POINT_M_MED,12,3,3,POINT,0,3,M,16,MED,18,30,960,500,5,60,6,508.508,123.24,372.826,92.741,139.067,32,2.418,506,0,0,0,407.036,4.779,1772906740030,1772906740536,517,131.625,6
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,13,1,3,POINT,0,4,M,16,LOOSE,28,30,960,500,1,61,21,158.107,138.893,480,250,340.529,32,3.541,702,0,0,0,437.115,5.044,1772906740915,1772906741617,151,141.625,21
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,13,1,3,POINT,0,4,M,16,LOOSE,28,30,960,500,2,62,27,198.258,326.1,158.107,138.893,191.464,32,2.804,599,0,0,0,540.604,4.681,1772906741617,1772906742216,199,324.625,27
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,13,1,3,POINT,0,4,M,16,LOOSE,28,30,960,500,3,63,11,289.196,390.505,198.258,326.1,111.435,32,2.164,661,0,0,0,472.161,3.274,1772906742216,1772906742877,291,391.625,11
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,13,1,3,POINT,0,4,M,16,LOOSE,28,30,960,500,4,64,20,347.321,60.374,289.196,390.505,335.209,32,3.52,735,0,0,0,523.469,4.79,1772906742877,1772906743612,346,54.625,20
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,13,1,3,POINT,0,4,M,16,LOOSE,28,30,960,500,5,65,10,518.662,350.152,347.321,60.374,336.644,32,3.526,664,0,0,0,353.458,5.31,1772906743612,1772906744276,520,341.625,10
2,2,2026-03-07T18:04:11.534Z,20260307_130411,4,POINT_M_LOOSE,14,2,3,POINT,0,4,M,16,LOOSE,28,30,960,500,1,66,22,769.996,94.015,480,250,329.285,32,3.497,733,0,0,0,302.42,4.771,1772906744683,1772906745416,775,100.625,22
